RR-1,RR-2
5.5,24.0
17.8,5.5
15.0,17.8
13.7,15.0
8.2,13.7
74.0,8.2
94.1,74.0
200.0,94.1
98.9,200.0
2.5,98.9
34.8,2.5
2.9,34.8
19.5,2.9
8.3,19.5
31.9,8.3
0.0,31.9
0.0,0.0
0.7,0.0
0.7,0.7
2.0,0.7
0.0,2.0
0.0,0.0
0.0,0.0
9.5,0.0
4.6,9.5
7.4,4.6
1.5,7.4
0.0,1.5
0.5,0.0
0.0,0.5
0.2,0.0
0.0,0.2
0.1,0.0
0.0,0.1
29.2,0.0
112.5,29.2
4.2,112.5
46.5,4.2
12.7,46.5
0.0,12.7
0.0,0.0
0.0,0.0
0.0,0.0
10.8,0.0
10.8,10.8
32.5,10.8
0.0,32.5
0.0,0.0
0.0,0.0
0.0,0.0
12.2,0.0
0.0,12.2
49.0,0.0
0.0,49.0
16.3,0.0
0.0,16.3
4.1,0.0
0.0,4.1
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
11.2,0.0
45.0,11.2
0.0,45.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.8,0.0
0.0,2.8
11.0,0.0
2.5,11.0
0.0,2.5
1.3,0.0
0.4,1.3
0.0,0.4
0.1,0.0
9.5,0.1
0.0,9.5
37.8,0.0
13.0,37.8
0.8,13.0
6.2,0.8
8.0,6.2
3.1,8.0
0.2,3.1
1.1,0.2
0.3,1.1
0.0,0.3
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1,0.0
0.0,0.1
0.5,0.0
0.2,0.5
0.0,0.2
0.1,0.0
0.0,0.1
0.0,0.0
0.0,0.0
5.3,0.0
5.3,5.3
15.8,5.3
0.0,15.8
20.0,0.0
13.0,20.0
0.0,13.0
5.0,0.0
2.0,5.0
1.8,2.0
0.0,1.8
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6.5,0.0
2.2,6.5
2.2,2.2
0.0,2.2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
10.0,0.0
66.0,10.0
18.3,66.0
0.0,18.3
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2,0.0
8.0,0.2
0.0,8.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.2,0.0
6.2,1.2
0.0,6.2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.5,0.0
9.2,2.5
2.7,9.2
9.0,2.7
0.0,9.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
26.0,0.0
0.0,26.0
0.3,0.0
0.1,0.3
3.3,0.1
0.0,3.3
12.7,0.0
6.4,12.7
6.3,6.4
4.2,6.3
0.0,4.2
1.1,0.0
0.0,1.1
0.0,0.0
0.0,0.0
0.0,0.0
0.8,0.0
3.0,0.8
0.0,3.0
0.8,0.0
0.0,0.8
0.0,0.0
0.1,0.0
0.0,0.1
0.5,0.0
1.5,0.5
10.4,1.5
25.5,10.4
14.2,25.5
4.8,14.2
0.0,4.8
0.0,0.0
0.0,0.0
0.1,0.0
0.1,0.1
0.3,0.1
0.0,0.3
0.0,0.0
0.5,0.0
5.5,0.5
1.0,5.5
0.0,1.0
2.9,0.0
20.2,2.9
7.3,20.2
6.0,7.3
0.0,6.0
23.0,0.0
6.5,23.0
1.2,6.5
7.5,1.2
10.5,7.5
0.0,10.5
0.0,0.0
0.0,0.0
0.0,0.0
5.4,0.0
0.0,5.4
21.8,0.0
14.7,21.8
0.5,14.7
36.4,0.5
1.0,36.4
3.1,1.0
10.4,3.1
7.0,10.4
30.5,7.0
16.6,30.5
29.0,16.6
0.0,29.0
9.9,0.0
3.6,9.9
0.8,3.6
4.8,0.8
4.0,4.8
11.0,4.0
3.0,11.0
4.7,3.0
1.9,4.7
0.0,1.9
0.0,0.0
39.0,0.0
12.9,39.0
8.4,12.9
4.1,8.4
18.1,4.1
6.3,18.1
53.7,6.3
30.0,53.7
34.8,30.0
21.4,34.8
20.8,21.4
0.0,20.8
6.9,0.0
2.3,6.9
0.0,2.3
3.4,0.0
0.0,3.4
11.4,0.0
13.6,11.4
14.8,13.6
29.5,14.8
4.5,29.5
6.5,4.5
2.5,6.5
2.6,2.5
1.5,2.6
0.0,1.5
10.4,0.0
0.5,10.4
126.0,0.5
8.7,126.0
38.0,8.7
82.8,38.0
8.8,82.8
8.2,8.8
6.0,8.2
2.0,6.0
1.0,2.0
9.4,1.0
0.0,9.4
24.7,0.0
7.7,24.7
0.0,7.7
6.0,0.0
8.9,6.0
29.5,8.9
0.0,29.5
15.5,0.0
12.4,15.5
5.5,12.4
28.5,5.5
0.0,28.5
2.5,0.0
0.0,2.5
11.5,0.0
0.0,11.5
1.0,0.0
13.0,1.0
29.5,13.0
11.8,29.5
0.0,11.8
0.0,0.0
0.0,0.0
1.3,0.0
11.0,1.3
2.5,11.0
0.0,2.5
1.0,0.0
2.0,1.0
0.6,2.0
0.9,0.6
0.5,0.9
0.0,0.5
1.5,0.0
0.7,1.5
5.0,0.7
0.0,5.0
0.0,0.0
0.0,0.0
0.0,0.0
10.6,0.0
6.5,10.6
35.7,6.5
0.0,35.7
0.0,0.0
0.0,0.0
0.0,0.0
0.7,0.0
0.0,0.7
2.9,0.0
75.0,2.9
52.2,75.0
0.8,52.2
58.0,0.8
0.1,58.0
0.0,0.1
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.6,0.0
0.0,0.6
2.2,0.0
0.0,2.2
0.0,0.0
0.0,0.0
24.1,0.0
6.8,24.1
3.2,6.8
0.0,3.2
1.1,0.0
0.3,1.1
0.0,0.3
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.7,0.0
0.7,1.7
0.0,0.7
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2,0.0
0.0,0.2
1.0,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
12.7,0.0
0.3,12.7
50.5,0.3
0.0,50.5
6.3,0.0
6.5,6.3
0.0,6.5
47.5,0.0
15.2,47.5
1.0,15.2
0.0,1.0
0.3,0.0
0.0,0.3
10.2,0.0
1.5,10.2
39.1,1.5
0.0,39.1
1.4,0.0
9.7,1.4
0.0,9.7
0.0,0.0
2.0,0.0
1.6,2.0
6.5,1.6
0.5,6.5
2.0,0.5
0.0,2.0
2.7,0.0
6.0,2.7
6.2,6.0
7.4,6.2
9.9,7.4
4.5,9.9
0.1,4.5
0.5,0.1
4.7,0.5
13.6,4.7
5.3,13.6
0.5,5.3
2.5,0.5
5.5,2.5
8.0,5.5
9.8,8.0
16.0,9.8
14.2,16.0
0.0,14.2
31.0,0.0
0.0,31.0
29.0,0.0
19.0,29.0
14.0,19.0
0.0,14.0
2.0,0.0
3.5,2.0
9.0,3.5
21.5,9.0
15.5,21.5
16.1,15.5
7.9,16.1
0.0,7.9
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.8,0.0
7.0,1.8
0.0,7.0
2.1,0.0
1.5,2.1
0.0,1.5
0.0,0.0
0.0,0.0
5.0,0.0
3.1,5.0
7.3,3.1
0.0,7.3
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
0.0,1.0
4.0,0.0
1.0,4.0
0.0,1.0
0.0,0.0
0.0,0.0
27.0,0.0
0.0,27.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.8,0.0
134.9,0.8
45.2,134.9
60.0,45.2
0.0,60.0
15.0,0.0
0.0,15.0
0.0,0.0
5.9,0.0
0.0,5.9
5.1,0.0
14.9,5.1
0.0,14.9
0.0,0.0
29.6,0.0
9.9,29.6
0.0,9.9
8.0,0.0
12.0,8.0
10.2,12.0
2.4,10.2
0.0,2.4
0.0,0.0
0.0,0.0
0.0,0.0
1.9,0.0
6.5,1.9
1.0,6.5
0.0,1.0
5.7,0.0
0.1,5.7
1.4,0.1
0.0,1.4
0.0,0.0
0.0,0.0
0.0,0.0
4.5,0.0
9.8,4.5
8.2,9.8
37.5,8.2
69.4,37.5
9.7,69.4
6.0,9.7
4.4,6.0
3.8,4.4
3.1,3.8
1.0,3.1
1.0,1.0
0.0,1.0
0.0,0.0
11.6,0.0
24.9,11.6
0.0,24.9
0.0,0.0
0.0,0.0
3.1,0.0
5.4,3.1
7.0,5.4
12.3,7.0
5.3,12.3
6.2,5.3
4.5,6.2
2.8,4.5
0.0,2.8
21.0,0.0
6.2,21.0
0.5,6.2
3.1,0.5
2.5,3.1
0.0,2.5
1.0,0.0
1.6,1.0
0.0,1.6
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4.5,0.0
0.0,4.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.6,0.0
2.5,0.6
0.0,2.5
0.0,0.0
2.1,0.0
0.0,2.1
2.6,0.0
3.5,2.6
5.2,3.5
1.8,5.2
8.8,1.8
6.8,8.8
0.5,6.8
0.0,0.5
0.0,0.0
23.8,0.0
9.0,23.8
29.1,9.0
110.3,29.1
0.3,110.3
44.7,0.3
4.6,44.7
0.0,4.6
0.0,0.0
0.0,0.0
8.0,0.0
8.5,8.0
21.0,8.5
5.0,21.0
2.0,5.0
2.0,2.0
25.0,2.0
4.0,25.0
5.0,4.0
7.3,5.0
13.0,7.3
10.2,13.0
11.6,10.2
14.9,11.6
12.9,14.9
23.0,12.9
2.0,23.0
2.0,2.0
6.0,2.0
7.3,6.0
14.0,7.3
8.1,14.0
6.8,8.1
3.0,6.8
2.0,3.0
2.5,2.0
2.5,2.5
4.5,2.5
3.0,4.5
10.0,3.0
